"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","si-4377-linux",,,,"User:","brooksch"
"Cmdline:","dstat -tcm --output dstat_siads521.csv",,,,"Date:","20 Oct 2019 14:44:21 EDT"

"system","total cpu usage",,,,,,"memory usage",,,
20-10 14:48:04,10.719,1.009,88.272,0.0,0.0,0.0,9796382720.0,313102336.0,4733480960.0,1925734400.0
20-10 14:48:05,4.051,0.633,95.316,0.0,0.0,0.0,9800986624.0,313102336.0,4727635968.0,1926975488.0
20-10 14:48:06,4.563,1.014,94.297,0.127,0.0,0.0,9799860224.0,313102336.0,4727914496.0,1927823360.0
20-10 14:48:07,5.422,1.513,93.064,0.0,0.0,0.0,9797799936.0,313102336.0,4727541760.0,1930256384.0
20-10 14:48:08,3.634,1.504,94.862,0.0,0.0,0.0,9795117056.0,313102336.0,4727808000.0,1932673024.0
20-10 14:48:09,7.170,1.258,90.943,0.629,0.0,0.0,9773989888.0,313131008.0,4727787520.0,1953792000.0
20-10 14:48:10,11.028,2.381,85.965,0.501,0.0,0.125,9766834176.0,313167872.0,4727648256.0,1961050112.0
20-10 14:48:11,10.593,2.144,87.264,0.0,0.0,0.0,9764876288.0,313167872.0,4727332864.0,1963323392.0
20-10 14:48:12,12.972,2.267,84.635,0.126,0.0,0.0,9783848960.0,313180160.0,4727066624.0,1944604672.0
20-10 14:48:13,21.717,3.030,75.0,0.253,0.0,0.0,9796665344.0,313200640.0,4728004608.0,1930829824.0
20-10 14:48:14,8.135,1.001,90.864,0.0,0.0,0.0,9802960896.0,313200640.0,4727468032.0,1925070848.0
20-10 14:48:15,3.254,1.126,95.494,0.125,0.0,0.0,9802403840.0,313200640.0,4728152064.0,1924943872.0
20-10 14:48:16,5.500,1.625,92.875,0.0,0.0,0.0,9803128832.0,313200640.0,4729004032.0,1923366912.0
20-10 14:48:17,4.875,1.125,94.0,0.0,0.0,0.0,9801940992.0,313200640.0,4729028608.0,1924530176.0
20-10 14:48:18,3.0,0.875,96.125,0.0,0.0,0.0,9802764288.0,313204736.0,4730855424.0,1921875968.0
20-10 14:48:19,3.145,1.006,95.849,0.0,0.0,0.0,9801838592.0,313204736.0,4728254464.0,1925402624.0
20-10 14:48:20,9.217,2.273,88.005,0.505,0.0,0.0,9813909504.0,313237504.0,4730228736.0,1911324672.0
20-10 14:48:21,4.141,1.004,94.856,0.0,0.0,0.0,9813102592.0,313237504.0,4730068992.0,1912291328.0
20-10 14:48:22,6.329,1.013,92.405,0.253,0.0,0.0,9814962176.0,313262080.0,4729430016.0,1911046144.0
20-10 14:48:23,12.657,1.754,85.464,0.125,0.0,0.0,9815568384.0,313262080.0,4729688064.0,1910181888.0
20-10 14:48:24,8.112,1.267,90.621,0.0,0.0,0.0,9813835776.0,313262080.0,4728692736.0,1912909824.0
20-10 14:48:25,5.402,0.754,93.844,0.0,0.0,0.0,9809326080.0,313262080.0,4726669312.0,1919442944.0
20-10 14:48:26,4.637,0.752,94.612,0.0,0.0,0.0,9808625664.0,313262080.0,4727517184.0,1919295488.0
20-10 14:48:27,5.348,1.741,92.786,0.124,0.0,0.0,9808502784.0,313270272.0,4729491456.0,1917435904.0
20-10 14:48:28,11.195,1.635,86.918,0.126,0.0,0.126,9780240384.0,313282560.0,4731486208.0,1943691264.0
20-10 14:48:29,5.823,1.013,93.165,0.0,0.0,0.0,9754247168.0,313282560.0,4740022272.0,1961148416.0
20-10 14:48:30,3.774,1.006,95.220,0.0,0.0,0.0,9753939968.0,313294848.0,4740038656.0,1961426944.0
20-10 14:48:31,4.386,1.003,94.486,0.125,0.0,0.0,9754017792.0,313294848.0,4739780608.0,1961607168.0
20-10 14:48:32,9.875,1.625,88.500,0.0,0.0,0.0,9753235456.0,313294848.0,4739747840.0,1962422272.0
20-10 14:48:33,10.224,2.494,86.908,0.249,0.0,0.125,9756368896.0,313311232.0,4742549504.0,1956470784.0
20-10 14:48:34,10.859,1.768,87.374,0.0,0.0,0.0,9759268864.0,313315328.0,4731949056.0,1964167168.0
20-10 14:48:35,11.543,1.631,86.826,0.0,0.0,0.0,9758216192.0,313315328.0,4731953152.0,1965215744.0
20-10 14:48:36,6.407,1.005,92.462,0.126,0.0,0.0,9758617600.0,313315328.0,4730789888.0,1965977600.0
20-10 14:48:37,9.560,2.013,88.428,0.0,0.0,0.0,9755418624.0,313315328.0,4731428864.0,1968537600.0
20-10 14:48:38,11.980,1.892,86.129,0.0,0.0,0.0,9754554368.0,313315328.0,4731428864.0,1969401856.0
20-10 14:48:39,7.259,1.502,91.114,0.125,0.0,0.0,9754169344.0,313323520.0,4731035648.0,1970171904.0
20-10 14:48:40,4.774,0.628,94.472,0.126,0.0,0.0,9754263552.0,313327616.0,4731686912.0,1969422336.0
20-10 14:48:41,9.363,2.122,88.390,0.125,0.0,0.0,9753067520.0,313339904.0,4730503168.0,1971789824.0
20-10 14:48:42,10.125,2.125,87.500,0.250,0.0,0.0,9754460160.0,313360384.0,4731691008.0,1969188864.0
20-10 14:48:43,9.446,1.889,88.665,0.0,0.0,0.0,9754353664.0,313360384.0,4731101184.0,1969885184.0
20-10 14:48:44,8.853,1.870,89.277,0.0,0.0,0.0,9754968064.0,313360384.0,4731437056.0,1968934912.0
20-10 14:48:45,10.289,1.631,88.080,0.0,0.0,0.0,9753374720.0,313360384.0,4739727360.0,1962237952.0
20-10 14:48:46,2.384,0.753,96.863,0.0,0.0,0.0,9754042368.0,313360384.0,4739727360.0,1961570304.0
20-10 14:48:47,3.145,1.132,95.597,0.126,0.0,0.0,9754116096.0,313368576.0,4739993600.0,1961222144.0
20-10 14:48:48,3.283,0.631,96.086,0.0,0.0,0.0,9755877376.0,313368576.0,4741632000.0,1957822464.0
20-10 14:48:49,2.750,1.0,96.250,0.0,0.0,0.0,9756028928.0,313368576.0,4740001792.0,1959301120.0
20-10 14:48:50,5.897,0.753,93.225,0.125,0.0,0.0,9756663808.0,313368576.0,4729618432.0,1969049600.0
20-10 14:48:51,3.504,1.001,95.494,0.0,0.0,0.0,9756725248.0,313368576.0,4730146816.0,1968459776.0
20-10 14:48:52,5.793,1.008,93.073,0.126,0.0,0.0,9756520448.0,313372672.0,4730146816.0,1968660480.0
20-10 14:48:53,8.060,1.385,90.554,0.0,0.0,0.0,9753731072.0,313372672.0,4730277888.0,1971318784.0
20-10 14:48:54,4.151,1.258,94.591,0.0,0.0,0.0,9754017792.0,313372672.0,4730531840.0,1970778112.0
20-10 14:48:55,3.392,0.754,95.854,0.0,0.0,0.0,9758052352.0,313372672.0,4730535936.0,1966739456.0
20-10 14:48:56,5.786,0.881,93.333,0.0,0.0,0.0,9758076928.0,313372672.0,4730535936.0,1966714880.0
20-10 14:48:57,4.282,0.630,95.088,0.0,0.0,0.0,9757306880.0,313372672.0,4730544128.0,1967476736.0
20-10 14:48:58,4.906,1.132,93.962,0.0,0.0,0.0,9756672000.0,313376768.0,4730544128.0,1968107520.0
20-10 14:48:59,2.008,1.255,96.738,0.0,0.0,0.0,9753296896.0,313380864.0,4730449920.0,1971572736.0
20-10 14:49:00,8.396,1.378,90.100,0.125,0.0,0.0,9752256512.0,313380864.0,4738985984.0,1964077056.0
20-10 14:49:01,10.100,1.870,88.030,0.0,0.0,0.0,9751871488.0,313380864.0,4740042752.0,1963405312.0
20-10 14:49:02,8.312,1.259,90.428,0.0,0.0,0.0,9751908352.0,313380864.0,4738859008.0,1964552192.0
20-10 14:49:03,10.916,1.757,87.327,0.0,0.0,0.0,9753649152.0,313389056.0,4742291456.0,1959370752.0
20-10 14:49:04,12.060,0.754,87.186,0.0,0.0,0.0,9756033024.0,313389056.0,4739272704.0,1960005632.0
20-10 14:49:05,9.950,1.637,88.413,0.0,0.0,0.0,9759703040.0,313389056.0,4731785216.0,1963823104.0
20-10 14:49:06,11.236,1.748,87.016,0.0,0.0,0.0,9761603584.0,313389056.0,4739395584.0,1954312192.0
20-10 14:49:07,10.087,1.370,88.543,0.0,0.0,0.0,9760743424.0,313389056.0,4739801088.0,1954766848.0
20-10 14:49:08,8.886,1.252,89.612,0.250,0.0,0.0,9759313920.0,313397248.0,4740063232.0,1955926016.0
20-10 14:49:09,10.435,1.988,87.578,0.0,0.0,0.0,9754595328.0,313397248.0,4739477504.0,1961230336.0
20-10 14:49:10,9.465,1.370,89.166,0.0,0.0,0.0,9755619328.0,313397248.0,4740075520.0,1959608320.0
20-10 14:49:11,9.340,1.993,88.667,0.0,0.0,0.0,9755119616.0,313397248.0,4731797504.0,1968386048.0
20-10 14:49:12,7.018,1.128,91.855,0.0,0.0,0.0,9761251328.0,313413632.0,4730810368.0,1963225088.0
20-10 14:49:13,7.875,1.500,90.625,0.0,0.0,0.0,9760186368.0,313413632.0,4731547648.0,1963552768.0
20-10 14:49:14,10.250,1.500,88.250,0.0,0.0,0.0,9757757440.0,313413632.0,4731551744.0,1965977600.0
20-10 14:49:15,7.509,1.252,91.239,0.0,0.0,0.0,9758273536.0,313413632.0,4731547648.0,1965465600.0
20-10 14:49:16,2.393,0.756,96.851,0.0,0.0,0.0,9757564928.0,313413632.0,4731551744.0,1966170112.0
20-10 14:49:17,7.286,1.256,91.332,0.126,0.0,0.0,9757376512.0,313417728.0,4731551744.0,1966354432.0
20-10 14:49:18,6.608,1.247,92.145,0.0,0.0,0.0,9759780864.0,313417728.0,4734451712.0,1961050112.0
20-10 14:49:19,6.030,1.005,92.839,0.126,0.0,0.0,9762144256.0,313417728.0,4731441152.0,1961697280.0
20-10 14:49:20,7.528,1.255,91.217,0.0,0.0,0.0,9761419264.0,313417728.0,4732239872.0,1961623552.0
20-10 14:49:21,9.565,1.739,88.696,0.0,0.0,0.0,9761337344.0,313417728.0,4731973632.0,1961971712.0
20-10 14:49:22,7.990,1.873,90.137,0.0,0.0,0.0,9761947648.0,313417728.0,4731576320.0,1961758720.0
20-10 14:49:23,10.224,2.120,87.656,0.0,0.0,0.0,9759264768.0,313417728.0,4731977728.0,1964040192.0
20-10 14:49:24,12.453,1.743,85.803,0.0,0.0,0.0,9757802496.0,313417728.0,4739469312.0,1958010880.0
20-10 14:49:25,8.176,1.132,90.692,0.0,0.0,0.0,9761402880.0,313417728.0,4739952640.0,1953927168.0
20-10 14:49:26,7.268,1.128,91.604,0.0,0.0,0.0,9759760384.0,313417728.0,4740108288.0,1955414016.0
20-10 14:49:27,5.019,1.631,93.350,0.0,0.0,0.0,9759973376.0,313417728.0,4739325952.0,1955983360.0
20-10 14:49:28,7.750,1.250,90.875,0.125,0.0,0.0,9760772096.0,313421824.0,4739862528.0,1954643968.0
20-10 14:49:29,2.261,0.754,96.985,0.0,0.0,0.0,9756987392.0,313421824.0,4730658816.0,1967632384.0
20-10 14:49:30,2.506,0.627,96.867,0.0,0.0,0.0,9756876800.0,313421824.0,4731592704.0,1966809088.0
20-10 14:49:31,2.010,0.503,97.362,0.126,0.0,0.0,9756717056.0,313421824.0,4731592704.0,1966968832.0
20-10 14:49:32,3.125,0.750,96.125,0.0,0.0,0.0,9756999680.0,313421824.0,4731596800.0,1966682112.0
20-10 14:49:33,3.487,0.996,95.517,0.0,0.0,0.0,9757556736.0,313430016.0,4732702720.0,1965010944.0
20-10 14:49:34,2.256,1.003,96.742,0.0,0.0,0.0,9758797824.0,313430016.0,4729344000.0,1967128576.0
20-10 14:49:35,5.038,1.008,93.955,0.0,0.0,0.0,9761935360.0,313430016.0,4731744256.0,1961590784.0
20-10 14:49:36,7.875,1.750,90.375,0.0,0.0,0.0,9763028992.0,313430016.0,4730707968.0,1961533440.0
20-10 14:49:37,5.038,1.008,93.955,0.0,0.0,0.0,9761267712.0,313430016.0,4731604992.0,1962397696.0
20-10 14:49:38,2.632,0.877,96.491,0.0,0.0,0.0,9760366592.0,313438208.0,4731113472.0,1963782144.0
20-10 14:49:39,2.264,1.006,96.730,0.0,0.0,0.0,9755783168.0,313438208.0,4730617856.0,1968861184.0
20-10 14:49:40,2.258,0.878,96.863,0.0,0.0,0.0,9755226112.0,313438208.0,4731863040.0,1968173056.0
20-10 14:49:41,2.372,0.999,96.629,0.0,0.0,0.0,9755951104.0,313438208.0,4730687488.0,1968623616.0
20-10 14:49:42,2.138,0.503,97.107,0.252,0.0,0.0,9756913664.0,313446400.0,4729778176.0,1968562176.0
20-10 14:49:43,2.144,0.631,97.226,0.0,0.0,0.0,9756401664.0,313446400.0,4730048512.0,1968803840.0
20-10 14:49:44,3.121,0.999,95.755,0.125,0.0,0.0,9757278208.0,313450496.0,4729516032.0,1968455680.0
20-10 14:49:45,5.779,0.503,93.719,0.0,0.0,0.0,9755521024.0,313450496.0,4729516032.0,1970212864.0
20-10 14:49:46,3.625,1.125,95.125,0.0,0.0,0.125,9756975104.0,313450496.0,4730564608.0,1967710208.0
20-10 14:49:47,1.635,0.755,97.610,0.0,0.0,0.0,9757384704.0,313450496.0,4730580992.0,1967284224.0
20-10 14:49:48,4.893,1.255,93.852,0.0,0.0,0.0,9759961088.0,313450496.0,4734431232.0,1960857600.0
20-10 14:49:49,8.511,1.752,89.612,0.125,0.0,0.0,9759629312.0,313454592.0,4732166144.0,1963450368.0
20-10 14:49:50,10.916,1.380,87.704,0.0,0.0,0.0,9759838208.0,313454592.0,4731338752.0,1964068864.0
20-10 14:49:51,7.750,1.625,90.625,0.0,0.0,0.0,9759014912.0,313454592.0,4732174336.0,1964056576.0
20-10 14:49:52,8.081,1.010,90.909,0.0,0.0,0.0,9759113216.0,313454592.0,4731912192.0,1964220416.0
20-10 14:49:53,7.895,1.629,90.476,0.0,0.0,0.0,9758892032.0,313454592.0,4731514880.0,1964838912.0
20-10 14:49:54,8.690,1.134,90.050,0.126,0.0,0.0,9761103872.0,313458688.0,4730724352.0,1963413504.0
20-10 14:49:55,11.307,1.508,87.186,0.0,0.0,0.0,9762848768.0,313458688.0,4731916288.0,1960476672.0
20-10 14:49:56,7.161,0.879,91.960,0.0,0.0,0.0,9763921920.0,313458688.0,4731924480.0,1959395328.0
20-10 14:49:57,6.274,1.380,92.346,0.0,0.0,0.0,9763794944.0,313458688.0,4731924480.0,1959522304.0
20-10 14:49:58,11.404,1.504,86.967,0.125,0.0,0.0,9764614144.0,313458688.0,4731531264.0,1959096320.0
20-10 14:49:59,10.585,1.743,87.671,0.0,0.0,0.0,9760669696.0,313466880.0,4731928576.0,1962635264.0
20-10 14:50:00,10.943,1.006,88.050,0.0,0.0,0.0,9761144832.0,313466880.0,4731936768.0,1962151936.0
20-10 14:50:01,7.018,1.003,91.980,0.0,0.0,0.0,9760894976.0,313466880.0,4731543552.0,1962795008.0
20-10 14:50:02,5.170,1.135,93.695,0.0,0.0,0.0,9760722944.0,313466880.0,4731940864.0,1962569728.0
20-10 14:50:03,3.008,0.877,96.115,0.0,0.0,0.0,9762697216.0,313466880.0,4734443520.0,1958092800.0
20-10 14:50:04,10.790,0.753,88.331,0.125,0.0,0.0,9763127296.0,313475072.0,4732219392.0,1959878656.0
20-10 14:50:05,3.652,1.008,95.340,0.0,0.0,0.0,9767411712.0,313475072.0,4731043840.0,1956769792.0
20-10 14:50:06,9.398,2.005,88.471,0.125,0.0,0.0,9767514112.0,313475072.0,4731969536.0,1955741696.0
20-10 14:50:07,5.875,4.162,89.596,0.0,0.0,0.367,9767669760.0,313475072.0,4733063168.0,1954492416.0
20-10 14:50:08,11.262,4.332,84.282,0.0,0.0,0.124,9770094592.0,313475072.0,4732133376.0,1952997376.0
20-10 14:50:09,11.111,3.580,85.309,0.0,0.0,0.0,9767690240.0,313483264.0,4732338176.0,1955188736.0
20-10 14:50:10,6.767,1.253,91.980,0.0,0.0,0.0,9766522880.0,313483264.0,4739899392.0,1948794880.0
20-10 14:50:11,5.257,3.178,90.342,0.0,0.0,1.222,9767026688.0,313483264.0,4740534272.0,1947656192.0
20-10 14:50:12,3.102,1.985,94.045,0.0,0.0,0.868,9767354368.0,313483264.0,4739743744.0,1948119040.0
20-10 14:50:13,5.342,2.112,92.422,0.0,0.0,0.124,9765498880.0,313483264.0,4740538368.0,1949179904.0
20-10 14:50:14,4.483,2.242,93.151,0.0,0.0,0.125,9765486592.0,313483264.0,4740931584.0,1948798976.0
20-10 14:50:15,4.924,1.641,93.308,0.126,0.0,0.0,9762729984.0,313491456.0,4732796928.0,1959682048.0
20-10 14:50:16,8.987,1.013,90.0,0.0,0.0,0.0,9761337344.0,313491456.0,4740280320.0,1953591296.0
20-10 14:50:17,3.544,1.139,95.316,0.0,0.0,0.0,9761046528.0,313491456.0,4741144576.0,1953017856.0
20-10 14:50:18,7.838,1.517,90.645,0.0,0.0,0.0,9763581952.0,313491456.0,4744146944.0,1947480064.0
20-10 14:50:19,10.354,1.641,88.005,0.0,0.0,0.0,9770475520.0,313491456.0,4741079040.0,1943654400.0
20-10 14:50:20,2.635,1.004,96.236,0.125,0.0,0.0,9770971136.0,313495552.0,4741959680.0,1942274048.0
